"TUITIONFEE_OUT","ADM_RATE","STABBR","INSTNM","COSTT4_A","UGDS","ACTCM25","ACTCM75","SATMT25","SATMT75"
"17200","0.4374","NE","YorkCollege","25430","404","18","22","400","490"
"NULL","NULL","NV","AcademyofHairDesignLasVegas","NULL","48","NULL","NULL","NULL","NULL"
"NULL","NULL","NV","CareerCollegeofNorthernNevada","NULL","541","NULL","NULL","NULL","NULL"
"9450","NULL","NV","CollegeofSouthernNevada","11630","28685","NULL","NULL","NULL","NULL"
"17413","NULL","NV","TheArtInstituteofLasVegas","28924","846","NULL","NULL","NULL","NULL"
"12864","NULL","NV","EverestCollegeHenderson","28239","417","NULL","NULL","NULL","NULL"
"20853","0.8841","NV","UniversityofNevadaLasVegas","16791","23325","18","25","450","560"
"20812","0.7852","NV","UniversityofNevadaReno","20542","17295","21","26","490","600"
"9450","NULL","NV","GreatBasinCollege","12081","1926","NULL","NULL","NULL","NULL"
"29994","0.657","NV","SierraNevadaCollege","47820","498","18","27","440","540"
"9450","NULL","NV","TruckeeMeadowsCommunityCollege","12702","8548","NULL","NULL","NULL","NULL"
"9450","NULL","NV","WesternNevadaCollege","12949","3327","NULL","NULL","NULL","NULL"
"38860","0.9019","NH","ColbySawyerCollege","53396","1205","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","ContinentalAcademieofHairDesignHudson","NULL","45","NULL","NULL","NULL","NULL"
"15630","0.6196","NH","DanielWebsterCollege","27962","675","NULL","NULL","NULL","NULL"
"49506","0.1097","NH","DartmouthCollege","65133","4214","30","34","670","780"
"NULL","NULL","NH","EmpireBeautySchoolLaconia","NULL","53","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","EmpireBeautySchoolSomersworth","NULL","112","NULL","NULL","NULL","NULL"
"33320","0.7971","NH","FranklinPierceUniversity","47168","1661","19","23","410","520"
"NULL","NULL","NH","UniversityofNewHampshireSchoolofLaw","NULL","NULL","NULL","NULL","NULL","NULL"
"9000","NULL","NH","MountWashingtonCollege","20641","747","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","KeeneBeautyAcademy","NULL","59","NULL","NULL","NULL","NULL"
"21200","0.9828","NH","NortheastCatholicCollege","32100","36","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","MichaelsSchoolofHairDesignandEstheticsPaulMitchellPartnerSchool","NULL","137","NULL","NULL","NULL","NULL"
"34606","0.9775","NH","NewEnglandCollege","47086","1886","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","NewEnglandSchoolofHairDesign","NULL","33","NULL","NULL","NULL","NULL"
"30386","0.9171","NH","SouthernNewHampshireUniversity","42953","42247","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","NewHampshireInstituteforTherapeuticArts","NULL","33","NULL","NULL","NULL","NULL"
"30256","0.7861","NH","UniversityofNewHampshireMainCampus","30246","12789","22","27","500","610"
"21408","0.7876","NH","KeeneStateCollege","25418","4186","19","24","440","550"
"27413","0.7317","NH","UniversityofNewHampshireatManchester","20950","696","NULL","NULL","450","550"
"21208","0.7357","NH","PlymouthStateUniversity","26058","4000","NULL","NULL","NULL","NULL"
"15264","NULL","NH","NHTIConcord'sCommunityCollege","19665","3642","NULL","NULL","NULL","NULL"
"15504","NULL","NH","WhiteMountainsCommunityCollege","17918","570","NULL","NULL","NULL","NULL"
"15015","NULL","NH","RiverValleyCommunityCollege","23297","865","NULL","NULL","NULL","NULL"
"14802","NULL","NH","LakesRegionCommunityCollege","18759","981","NULL","NULL","NULL","NULL"
"15040","NULL","NH","ManchesterCommunityCollege","17318","2582","NULL","NULL","NULL","NULL"
"15072","NULL","NH","NashuaCommunityCollege","16480","1824","NULL","NULL","NULL","NULL"
"15264","NULL","NH","GreatBayCommunityCollege","19213","1811","NULL","NULL","NULL","NULL"
"NULL","NULL","NH","PaulMitchelltheSchoolPortsmouth","NULL","52","NULL","NULL","NULL","NULL"
"29700","0.5732","NH","RivierUniversity","41175","1344","NULL","NULL","NULL","NULL"
"37904","0.729","NH","SaintAnselmCollege","51384","1908","NULL","NULL","NULL","NULL"
"17272","NULL","NH","StJosephSchoolofNursing","34584","123","NULL","NULL","NULL","NULL"
"8025","NULL","NH","GraniteStateCollege","16741","1813","NULL","NULL","NULL","NULL"
"20400","0.9706","NH","ThomasMoreCollegeofLiberalArts","32000","87","NULL","NULL","NULL","NULL"
"15609","0.5179","NJ","EastwickCollegeHackensack","31496","337","NULL","NULL","NULL","NULL"
"7536","NULL","NJ","AtlanticCapeCommunityCollege","14206","5950","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","FortisInstituteWayne","NULL","523","NULL","NULL","NULL","NULL"
"8046","NULL","NJ","BergenCommunityCollege","11791","13575","NULL","NULL","NULL","NULL"
"24300","NULL","NJ","BerkeleyCollegeWoodlandPark","39818","3794","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","BethMedrashGovoha","NULL","2747","NULL","NULL","NULL","NULL"
"27800","0.597","NJ","BloomfieldCollege","40706","1937","15","19","390","480"
"7199","NULL","NJ","BrookdaleCommunityCollege","11622","11805","NULL","NULL","NULL","NULL"
"6495","NULL","NJ","RowanCollegeatBurlingtonCounty","11700","8014","NULL","NULL","NULL","NULL"
"31200","0.6354","NJ","CaldwellUniversity","40825","1576","18","24","430","550"
"4440","NULL","NJ","CamdenCountyCollege","10852","10284","NULL","NULL","NULL","NULL"
"31754","0.8676","NJ","CentenaryUniversity","42381","1548","17","24","420","510"
"NULL","NULL","NJ","AdultandContinuingEducationBC","NULL","82","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","BranfordHallCareerInstituteParsippany","NULL","96","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","LincolnTechnicalInstituteIselin","NULL","427","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","AmericanInstituteClifton","NULL","661","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","CooperHealthSystemCenterforAlliedHealthEducation","NULL","15","NULL","NULL","NULL","NULL"
"11290","NULL","NJ","CountyCollegeofMorris","11853","7170","NULL","NULL","NULL","NULL"
"14460","NULL","NJ","CumberlandCountyCollege","13621","3384","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","DiversAcademyInternational","NULL","130","NULL","NULL","NULL","NULL"
"46684","0.7031","NJ","DrewUniversity","60063","1346","NULL","NULL","NULL","NULL"
"9490","1","NJ","duCretSchoolofArts","23049","27","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","LincolnTechnicalInstituteSouthPlainfield","NULL","313","NULL","NULL","NULL","NULL"
"7358","NULL","NJ","EssexCountyCollege","14675","9828","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","EmpireBeautySchoolUnion","NULL","107","NULL","NULL","NULL","NULL"
"36910","0.7951","NJ","FairleighDickinsonUniversityMetropolitanCampus","45144","3707","18","23","460","560"
"31235","0.7879","NJ","FelicianUniversity","43180","1600","15","21","400","500"
"39092","0.8315","NJ","FairleighDickinsonUniversityFlorhamCampus","52883","2505","20","25","460","570"
"NULL","NULL","NJ","HohokusSchoolofTradeandTechnicalSciences","NULL","201","NULL","NULL","NULL","NULL"
"31618","0.7284","NJ","GeorgianCourtUniversity","40790","1352","NULL","NULL","420","540"
"20978","0.7109","NJ","RowanUniversity","27078","12912","NULL","NULL","480","610"
"8615","NULL","NJ","RowanCollegeatGloucesterCounty","11650","6128","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","EmpireBeautySchoolCherryHill","NULL","82","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","HarrisSchoolofBusinessCherryHillCampus","NULL","436","NULL","NULL","NULL","NULL"
"16793","0.6916","NJ","EastwickCollegeRamsey","30038","709","NULL","NULL","NULL","NULL"
"22079","0","NJ","HolyNameMedicalCenterSchoolofNursing","42090","171","NULL","NULL","NULL","NULL"
"12403","NULL","NJ","HudsonCountyCommunityCollege","12233","8510","NULL","NULL","NULL","NULL"
"20009","0.8673","NJ","NewJerseyCityUniversity","17552","6201","NULL","NULL","390","500"
"20100","0.9861","NJ","JoeKubertSchoolofCartoonandGraphicArt","30936","99","NULL","NULL","NULL","NULL"
"18183","0.7427","NJ","KeanUniversity","24343","11755","17","21","430","520"
"NULL","NULL","NJ","HarrisSchoolofBusinessVoorheesCampus","NULL","406","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","LincolnTechnicalInstituteUnion","NULL","1157","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","RizzieriAvedaSchoolforBeautyandWellness","NULL","247","NULL","NULL","NULL","NULL"
"6900","NULL","NJ","MercerCountyCommunityCollege","9578","7012","NULL","NULL","NULL","NULL"
"6744","NULL","NJ","MiddlesexCountyCollege","12114","10675","NULL","NULL","NULL","NULL"
"33729","0.7419","NJ","MonmouthUniversity","46450","4661","20","25","470","550"
"20320","0.7007","NJ","MontclairStateUniversity","25270","16129","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","HackensackUMCMountainsideSchoolofNursing","NULL","63","NULL","NULL","NULL","NULL"
"22644","0.2222","NJ","JFKMuhlenbergHaroldBDorothyASnyderSchoolsSchoolofNursing","25668","383","NULL","NULL","NULL","NULL"
"15189","0.4356","NJ","EastwickCollegeNutley","23889","323","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","EmpireBeautySchoolJerseyCity","NULL","80","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","NewBrunswickTheologicalSeminary","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","RobertFianceBeautySchoolsWestNewYork","NULL","311","NULL","NULL","NULL","NULL"
"30326","0.6076","NJ","NewJerseyInstituteofTechnology","28150","7049","23","29","590","680"
"7735","NULL","NJ","OceanCountyCollege","13762","7535","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","PBCosmetologyEducationCenter","NULL","215","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","ParisianBeautySchool","NULL","316","NULL","NULL","NULL","NULL"
"7755","NULL","NJ","PassaicCountyCommunityCollege","13984","7906","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","PenncoTechBlackwood","NULL","1172","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","PrincetonTheologicalSeminary","NULL","NULL","NULL","NULL","NULL","NULL"
"43450","0.0714","NJ","PrincetonUniversity","59665","5260","32","35","700","800"
"11000","0.7368","NJ","RabbinicalCollegeofAmerica","23643","258","NULL","NULL","NULL","NULL"
"22563","0.5324","NJ","RamapoCollegeofNewJersey","29842","5425","20","26","500","610"
"NULL","NULL","NJ","RobertFianceBeautySchoolsPerthAmboy","NULL","185","NULL","NULL","NULL","NULL"
"38360","0.6901","NJ","RiderUniversity","52399","4039","19","25","460","560"
"NULL","NULL","NJ","RomanAcademyofBeautyCulture","NULL","40","NULL","NULL","NULL","NULL"
"28890","0.5838","NJ","RutgersUniversityCamden","24306","4835","NULL","NULL","470","570"
"29521","0.5845","NJ","RutgersUniversityNewBrunswick","29076","35102","NULL","NULL","580","700"
"28987","0.6465","NJ","RutgersUniversityNewark","24233","7208","NULL","NULL","480","580"
"NULL","NULL","NJ","StFrancisMedicalCenterSchoolofRadiologicTechnology","NULL","16","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","SaintFrancisMedicalCenterSchoolofNursing","NULL","58","NULL","NULL","NULL","NULL"
"34198","0.6731","NJ","SaintPeter'sUniversity","42710","2424","16","21","420","515"
"5544","NULL","NJ","SalemCommunityCollege","10635","1021","NULL","NULL","NULL","NULL"
"38072","0.7625","NJ","SetonHallUniversity","49945","5818","23","27","540","620"
"NULL","NULL","NJ","AtlanticBeautySpaAcademyL","NULL","124","NULL","NULL","NULL","NULL"
"31688","0.6318","NJ","CollegeofSaintElizabeth","46509","778","NULL","NULL","358","460"
"4768","0.9862","NJ","RaritanValleyCommunityCollege","8216","6177","NULL","NULL","NULL","NULL"
"47190","0.4356","NJ","StevensInstituteofTechnology","62385","2956","29","32","650","745"
"19472","0.6442","NJ","StocktonUniversity","26929","7765","19","25","500","600"
"12000","1","NJ","TalmudicalAcademyNewJersey","18200","66","NULL","NULL","NULL","NULL"
"NULL","NULL","NJ","TeterboroSchoolofAeronautics","NULL","137","NULL","NULL","NULL","NULL"
"9036","NULL","NJ","ThomasEdisonStateUniversity","NULL","12283","NULL","NULL","NULL","NULL"
"26397","0.4867","NJ","TheCollegeofNewJersey","30299","6590","26","30","570","670"
"NULL","NULL","NJ","SanfordBrownInstituteIselin","NULL","219","NULL","NULL","NULL","NULL"
"8900","NULL","NJ","UnionCountyCollege","9720","10745","NULL","NULL","NULL","NULL"
"20125","0.7429","NJ","WilliamPatersonUniversityofNewJersey","23572","9279","NULL","NULL","460","540"
"NULL","NULL","NM","OlympianAcademyofCosmetology","NULL","1068","NULL","NULL","NULL","NULL"
"6704","NULL","NM","CentralNewMexicoCommunityCollege","8731","21410","NULL","NULL","NULL","NULL"
"4170","NULL","NM","NavajoTechnicalUniversity","9945","1359","NULL","NULL","NULL","NULL"
"NULL","NULL","NM","DeWolffCollegeHairStylingandCosmetology","NULL","47","NULL","NULL","NULL","NULL"
"5184","NULL","NM","NewMexicoStateUniversityDonaAna","11325","5804","NULL","NULL","NULL","NULL"
"2376","NULL","NM","ClovisCommunityCollege","13910","1793","NULL","NULL","NULL","NULL"
"10633","0.4983","NM","EasternNewMexicoUniversityMainCampus","15976","3627","17","23","420","520"
"4536","NULL","NM","EasternNewMexicoUniversityRoswellCampus","11104","1629","NULL","NULL","NULL","NULL"
"4440","1","NM","InstituteofAmericanIndianandAlaskaNativeCultureandArtsDevelopment","18570","263","NULL","NULL","NULL","NULL"
"7534","NULL","NM","NewMexicoHighlandsUniversity","13713","2128","NULL","NULL","NULL","NULL"
"1896","NULL","NM","NewMexicoJuniorCollege","10346","1719","NULL","NULL","NULL","NULL"
"10122","0.4036","NM","NewMexicoMilitaryInstitute","15756","428","16","24","440","580"
"4627","NULL","NM","UniversityofNewMexicoGallupCampus","12299","2000","NULL","NULL","NULL","NULL"
"19137","0.2445","NM","NewMexicoInstituteofMiningandTechnology","19401","1502","23","29","570","680"
"5048","NULL","NM","UniversityofNewMexicoLosAlamosCampus","11228","713","NULL","NULL","NULL","NULL"
"21302","0.5788","NM","UniversityofNewMexicoMainCampus","17000","19886","19","25","470","600"
"5280","NULL","NM","NewMexicoStateUniversityAlamogordo","10584","892","NULL","NULL","NULL","NULL"
"3868","NULL","NM","NewMexicoStateUniversityCarlsbad","10054","674","NULL","NULL","NULL","NULL"
"3936","NULL","NM","NewMexicoStateUniversityGrants","10284","330","NULL","NULL","NULL","NULL"
"19652","0.6576","NM","NewMexicoStateUniversityMainCampus","17572","11887","18","24","430","540"
"4602","NULL","NM","UniversityofNewMexicoValenciaCountyCampus","10718","1592","NULL","NULL","NULL","NULL"
"12494","NULL","NM","NorthernNewMexicoCollege","11430","828","NULL","NULL","NULL","NULL"
"4114","NULL","NM","SanJuanCollege","10868","5669","NULL","NULL","NULL","NULL"
"3249","NULL","NM","SantaFeCommunityCollege","13900","3401","NULL","NULL","NULL","NULL"
"32346","0.9984","NM","SantaFeUniversityofArtandDesign","43603","857","NULL","NULL","NULL","NULL"
"14616","NULL","NM","UniversityoftheSouthwest","22932","446","NULL","NULL","NULL","NULL"
"NULL","NULL","NM","SouthwesternCollege","NULL","NULL","NULL","NULL","NULL","NULL"
"1095","NULL","NM","SouthwesternIndianPolytechnicInstitute","11739","397","NULL","NULL","NULL","NULL"
"4854","NULL","NM","UniversityofNewMexicoTaosCampus","13107","848","NULL","NULL","NULL","NULL"
"2592","NULL","NM","MesalandsCommunityCollege","12541","563","NULL","NULL","NULL","NULL"
"NULL","NULL","NM","VogueCollegeofCosmetologySantaFe","NULL","88","NULL","NULL","NULL","NULL"
"13364","NULL","NM","WesternNewMexicoUniversity","16746","1866","NULL","NULL","NULL","NULL"
"22680","0.7393","NY","VaughnCollegeofAeronauticsandTechnology","34244","1525","NULL","NULL","NULL","NULL"
"34034","0.7219","NY","AdelphiUniversity","45034","4813","19","25","510","620"
"8407","NULL","NY","AdirondackCommunityCollege","11751","3301","NULL","NULL","NULL","NULL"
"11120","NULL","NY","GlobeInstituteofTechnology","27128","446","NULL","NULL","NULL","NULL"
"16042","NULL","NY","BryantStrattonCollegeAlbany","22854","418","NULL","NULL","NULL","NULL"
"31081","0.6587","NY","AlbanyCollegeofPharmacyandHealthSciences","43749","1001","24","28","560","650"
"NULL","NULL","NY","AlbanyLawSchool","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","AlbanyMedicalCollege","NULL","NULL","NULL","NULL","NULL","NULL"
"26261","0.6841","NY","AlfredUniversity","40697","1754","21","28","470","580"
"NULL","NULL","NY","AllenSchoolBrooklyn","NULL","373","NULL","NULL","NULL","NULL"
"11865","0.5714","NY","TheAileySchool","32613","106","NULL","NULL","NULL","NULL"
"30650","0.7487","NY","AmericanAcademyofDramaticArtsNewYork","47977","261","NULL","NULL","NULL","NULL"
"15878","NULL","NY","AmericanAcademyMcAllisterInstituteofFuneralService","20323","493","NULL","NULL","NULL","NULL"
"15099","0.7582","NY","JoffreyBalletSchool","31999","292","NULL","NULL","NULL","NULL"
"33920","0.2184","NY","AmericanMusicalandDramaticAcademy","46660","1509","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ApexTechnicalSchool","NULL","1152","NULL","NULL","NULL","NULL"
"NULL","0.8","NY","ArnotOgdenMedicalCenter","NULL","64","NULL","NULL","NULL","NULL"
"7500","0.8871","NY","AssociatedBethRivkahSchools","16605","179","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","Austin'sSchoolofSpaTechnology","NULL","262","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","BankStreetCollegeofEducation","NULL","NULL","NULL","NULL","NULL","NULL"
"49906","0.3217","NY","BardCollege","64671","1976","NULL","NULL","NULL","NULL"
"47631","0.1962","NY","BarnardCollege","63105","2536","29","32","620","720"
"NULL","NULL","NY","BerkTradeandBusinessSchool","NULL","295","NULL","NULL","NULL","NULL"
"24300","NULL","NY","BerkeleyCollegeNewYork","40010","4368","NULL","NULL","NULL","NULL"
"7700","1","NY","BethHatalmudRabbinicalCollege","17966","25","NULL","NULL","NULL","NULL"
"8250","0.5","NY","BethHamedrashShaareiYosherInstitute","NULL","44","NULL","NULL","NULL","NULL"
"22545","0.25","NY","PhillipsSchoolofNursingatMountSinaiBethIsrael","29680","254","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","HairDesignInstituteatFifthAvenueBrooklyn","NULL","114","NULL","NULL","NULL","NULL"
"10625","NULL","NY","BoricuaCollege","25825","925","NULL","NULL","NULL","NULL"
"11330","NULL","NY","BramsonORTCollege","19673","480","NULL","NULL","NULL","NULL"
"14349","NULL","NY","BriarcliffeCollege","21875","1355","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","BrittanyBeautySchool","NULL","114","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","AmericanBeautySchool","NULL","185","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","BrooklynLawSchool","NULL","NULL","NULL","NULL","NULL","NULL"
"8945","NULL","NY","SUNYBroomeCommunityCollege","12609","5501","NULL","NULL","NULL","NULL"
"15678","NULL","NY","BryantStrattonCollegeAmherst","20010","306","NULL","NULL","NULL","NULL"
"16243","NULL","NY","BryantStrattonCollegeSyracuseNorth","20595","328","NULL","NULL","NULL","NULL"
"16763","NULL","NY","BryantStrattonCollegeSyracuse","23516","479","NULL","NULL","NULL","NULL"
"16404","NULL","NY","BryantStrattonCollegeBuffalo","21344","497","NULL","NULL","NULL","NULL"
"16183","NULL","NY","BryantStrattonCollegeGreece","22149","353","NULL","NULL","NULL","NULL"
"34690","0.8698","NY","CanisiusCollege","46481","2552","21","27","480","600"
"NULL","NULL","NY","CapriCosmetologyLearningCenters","NULL","210","NULL","NULL","NULL","NULL"
"21946","NULL","NY","StPaul'sSchoolofNursingQueens","33930","517","NULL","NULL","NULL","NULL"
"9068","NULL","NY","CayugaCountyCommunityCollege","11472","2454","NULL","NULL","NULL","NULL"
"31754","0.8149","NY","CazenoviaCollege","45054","1050","NULL","NULL","NULL","NULL"
"6700","0.9839","NY","CentralYeshivaTomcheiTmimimLubavitz","23445","513","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","CherylFellsSchoolofBusiness","NULL","57","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ChristtheKingSeminary","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ChristineValmyInternationalSchoolforEstheticsSkinCareMakeup","NULL","329","NULL","NULL","NULL","NULL"
"16040","0.6333","NY","CircleintheSquareTheatreSchool","39845","59","NULL","NULL","NULL","NULL"
"44630","0.6806","NY","ClarksonUniversity","59672","3153","24","30","560","660"
"9670","NULL","NY","ClintonCommunityCollege","12372","1124","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","CochranSchoolofNursing","NULL","89","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ColgateRochesterCrozerDivinitySchool","NULL","NULL","NULL","NULL","NULL","NULL"
"49970","0.2736","NY","ColgateUniversity","62405","2834","30","33","630","730"
"18030","0.5285","NY","MetropolitanCollegeofNewYork","29954","779","NULL","NULL","NULL","NULL"
"53000","0.0661","NY","ColumbiaUniversityintheCityofNewYork","66604","8102","31","35","690","790"
"8752","NULL","NY","ColumbiaGreeneCommunityCollege","10329","1261","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","EmpireBeautySchoolQueens","NULL","133","NULL","NULL","NULL","NULL"
"29700","0.7139","NY","ConcordiaCollegeNewYork","39015","886","NULL","NULL","390","500"
"NULL","NULL","NY","ContinentalSchoolofBeautyCultureBuffalo","NULL","95","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ContinentalSchoolofBeautyCultureBatavia","NULL","37","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","ContinentalSchoolofBeautyCultureRochester","NULL","259","NULL","NULL","NULL","NULL"
"42650","NULL","NY","CooperUnionfortheAdvancementofScienceandArt","56297","873","NULL","NULL","NULL","NULL"
"49116","0.1507","NY","CornellUniversity","63596","14226","30","34","680","780"
"NULL","NULL","NY","WeillCornellMedicalCollege","NULL","NULL","NULL","NULL","NULL","NULL"
"9004","NULL","NY","CorningCommunityCollege","11126","2558","NULL","NULL","NULL","NULL"
"11078","0.4638","NY","PomeroyCollegeofNursingatCrouseHospital","18508","299","NULL","NULL","NULL","NULL"
"29250","0.9217","NY","CulinaryInstituteofAmerica","42854","2859","NULL","NULL","NULL","NULL"
"13920","0.3244","NY","CUNYBernardMBaruchCollege","16468","14896","NULL","NULL","600","690"
"8050","NULL","NY","CUNYBoroughofManhattanCommunityCollege","15428","26560","NULL","NULL","NULL","NULL"
"8086","NULL","NY","CUNYBronxCommunityCollege","15184","10483","NULL","NULL","NULL","NULL"
"13948","0.3731","NY","CUNYBrooklynCollege","16657","13172","NULL","NULL","530","630"
"14000","0.9758","NY","CollegeofStatenIslandCU","18131","12321","NULL","NULL","NULL","NULL"
"13799","0.4297","NY","CUNYCityCollege","15472","12468","NULL","NULL","530","650"
"NULL","NULL","NY","CUNYGraduateSchoolandUniversityCenter","NULL","1463","NULL","NULL","NULL","NULL"
"8088","NULL","NY","CUNYHostosCommunityCollege","15102","6722","NULL","NULL","NULL","NULL"
"13892","0.3866","NY","CUNYHunterCollege","17598","15465","NULL","NULL","550","640"
"13920","0.3655","NY","CUNYJohnJayCollegeofCriminalJustice","14136","12545","NULL","NULL","460","540"
"8082","NULL","NY","CUNYKingsboroughCommunityCollege","14194","12847","NULL","NULL","NULL","NULL"
"8098","NULL","NY","CUNYLaGuardiaCommunityCollege","15400","16047","NULL","NULL","NULL","NULL"
"13870","0.2995","NY","CUNYLehmanCollege","16445","9874","NULL","NULL","480","560"
"13790","0.9916","NY","CUNYMedgarEversCollege","16969","6257","NULL","NULL","NULL","NULL"
"13779","0.7371","NY","CUNYNewYorkCityCollegeofTechnology","14239","16297","NULL","NULL","NULL","NULL"
"14048","0.4044","NY","CUNYQueensCollege","17071","15148","NULL","NULL","530","620"
"8090","NULL","NY","CUNYQueensboroughCommunityCollege","14299","13692","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","CUNYSchoolofLaw","NULL","NULL","NULL","NULL","NULL","NULL"
"13858","0.405","NY","CUNYYorkCollege","15822","7264","NULL","NULL","410","500"
"NULL","0.3429","NY","CVPHMedicalCenterSchoolofRadiologicTechnology","NULL","24","NULL","NULL","NULL","NULL"
"24370","0.7262","NY","D'YouvilleCollege","34292","1707","21","25","460","560"
"25995","0.5066","NY","DaemenCollege","35087","1968","NULL","NULL","NULL","NULL"
"10500","0.4074","NY","YeshivaofFarRockawayDerechAysonRabbinicalSeminary","17200","34","NULL","NULL","NULL","NULL"
"26450","0.7147","NY","DominicanCollegeofBlauvelt","37935","1534","17","21","390","490"
"29100","NULL","NY","DowlingCollege","41775","1152","NULL","NULL","NULL","NULL"
"7226","NULL","NY","DutchessCommunityCollege","11976","6331","NULL","NULL","NULL","NULL"
"9632","0.2941","NY","BelangerSchoolofNursing","14336","127","NULL","NULL","NULL","NULL"
"20780","NULL","NY","ElmiraBusinessInstitute","41700","327","NULL","NULL","NULL","NULL"
"39950","0.7616","NY","ElmiraCollege","50755","1252","NULL","NULL","NULL","NULL"
"9784","NULL","NY","ErieCommunityCollege","10365","10027","NULL","NULL","NULL","NULL"
"14230","0.4098","NY","FashionInstituteofTechnology","17232","8229","NULL","NULL","NULL","NULL"
"8884","NULL","NY","FingerLakesCommunityCollege","14934","3906","NULL","NULL","NULL","NULL"
"21500","0.6025","NY","FiveTownsCollege","32505","628","NULL","NULL","NULL","NULL"
"47317","0.4757","NY","FordhamUniversity","60867","8701","27","31","590","680"
"NULL","NULL","NY","TheInternationalCulinaryCenter","NULL","470","NULL","NULL","NULL","NULL"
"8340","NULL","NY","FultonMontgomeryCommunityCollege","14250","1961","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","GemologicalInstituteofAmericaNewYork","NULL","179","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","TheGeneralTheologicalSeminary","NULL","NULL","NULL","NULL","NULL","NULL"
"5010","NULL","NY","GeneseeCommunityCollege","12124","3715","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","GloriaFrancisSchoolofMakeUpArtistry","NULL","56","NULL","NULL","NULL","NULL"
"49500","0.2481","NY","HamiltonCollege","61770","1861","NULL","NULL","NULL","NULL"
"41440","0.8076","NY","HartwickCollege","51932","1384","NULL","NULL","NULL","NULL"
"18764","NULL","NY","HeleneFuldCollegeofNursing","NULL","459","NULL","NULL","NULL","NULL"
"7650","NULL","NY","HerkimerCountyCommunityCollege","13225","2125","NULL","NULL","NULL","NULL"
"20700","0.817","NY","HilbertCollege","25881","874","NULL","NULL","NULL","NULL"
"49677","0.565","NY","HobartWilliamSmithColleges","62034","2257","NULL","NULL","NULL","NULL"
"40460","0.6106","NY","HofstraUniversity","52946","6716","NULL","NULL","NULL","NULL"
"29458","0.9457","NY","HoughtonCollege","39937","1014","21","29","470","610"
"13388","NULL","NY","HudsonValleyCommunityCollege","12762","8243","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","HunterBusinessSchool","NULL","893","NULL","NULL","NULL","NULL"
"NULL","NULL","NY","InstituteofAudioResearch","NULL","351","NULL","NULL","NULL","NULL"
"35324","0.9121","NY","IonaCollege","47597","3018","20","25","440","550"
"NULL","NULL","NY","IsabellaGrahamHartSchoolofPracticalNursing","NULL","57","NULL","NULL","NULL","NULL"
"16200","NULL","NY","IslandDraftingandTechnicalInstitute","27782","112","NULL","NULL","NULL","NULL"
"40658","0.6703","NY","IthacaCollege","57239","6279","NULL","NULL","NULL","NULL"
